full_text
"@aniesbaswedan @susipudjiastuti ini aja om, plis🥹🥹🥹"
"Bakal capres KPP, Anies Baswedan blusukan ke tempat pelelangan Ikan di Pangandaran, Jawa Barat. Ia ditemani Susi Pudjiastuti https://t.co/VhcW3kDLtM"
Ibu @susipudjiastuti memang lebih cocok  (dan kalau jadi) berada di kubu pak @aniesbaswedan. Jadi ngumpul bareng Said Didu dan Rizal Ramli. Paket komplit dweh...🫣😋🤭 https://t.co/wil88uZ0Bs
@aniesbaswedan @susipudjiastuti Boleh juga tuh..Apa sudah di produksi sendiri Bu ? yang tertarik kan bisa pesan secara online hehehe 🤭
"@aniesbaswedan @susipudjiastuti Sdh pas pak, segera pinang bu Susi jadi CAWAPRES.. untuk Pileg biar suara keluarga kami yg atur dibagi2 unt coblos Nasdem, PKS dan Demokrat."
"@sudisum @kangdede78 @aniesbaswedan @BosPurwa Lho lho g bahaya ta, ntar pinjem pesawat buat keliling2 lagi wkwkwk"
@PartaiSocmed Kita Tes ..  Yg setuju Bu @susipudjiastuti  jadi cawapres @aniesbaswedan  sialhkan RT
@aniesbaswedan @susipudjiastuti Emang bu susi mau..... Hahaha
"@geloraco Lhhaa? Bukannya pakai hybrid dari awal sudah diketahui FIFA juga? Kemudian sudah dinyatakan layak? Boleh dong minta ganti rugi. Indonesia kan sudah bayar mahal untuk pakai rumput itu, kenapa awal dinyatakan layak? Aneh nih FIFA plinplan.. @aniesbaswedan"
@susipudjiastuti @aniesbaswedan Bismillah ya Bu Susi.
@PartaiSocmed @aniesbaswedan @susipudjiastuti Bismillahirrahmanirrahim untuk PERUBAHAN Indonesia ke arah yg lebih baik
@PartaiSocmed @aniesbaswedan @susipudjiastuti Yg ini ane demen nih
